dataset,model,size,full model name,snapshot,seed,raw_prediction,answer_only,correct,template_id,text,operator,num1,num2,items,verb,answer,answer_str,number_format,id
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had two oranges, then he got one oranges. How many oranges danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had two oranges, then he got one oranges. How many oranges danny have now? 
Answer:",+,2,1,oranges,got,3,three,textual,0
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had four candy bars, then he found two candy bars. How many candy bars danny have now? 
Answer: I'm not sure.
",I'm not sure.,FALSE,1,"Question: Danny had four candy bars, then he found two candy bars. How many candy bars danny have now? 
Answer:",+,4,2,candy bars,found,6,six,textual,1
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had two oranges, then he got one oranges. How many oranges danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had two oranges, then he got one oranges. How many oranges danny have now? 
Answer:",+,2,1,oranges,got,3,three,textual,2
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had one apple, then he found one apples. How many apple danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had one apple, then he found one apples. How many apple danny have now? 
Answer:",+,1,1,apples,found,2,two,textual,3
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had four apples, then he got one apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had four apples, then he got one apples. How many apples danny have now? 
Answer:",+,4,1,apples,got,5,five,textual,4
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had nine oranges, then he found seven oranges. How many oranges danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,TRUE,1,"Question: Danny had nine oranges, then he found seven oranges. How many oranges danny have now? 
Answer:",+,9,7,oranges,found,16,,textual,5
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had ten apples, then he found five apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had ten apples, then he found five apples. How many apples danny have now? 
Answer:",+,10,5,apples,found,15,fifteen,textual,6
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had seven apples, then he received three apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had seven apples, then he received three apples. How many apples danny have now? 
Answer:",+,7,3,apples,received,10,ten,textual,7
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had four apples, then he found three apples. How many apples danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had four apples, then he found three apples. How many apples danny have now? 
Answer:",+,4,3,apples,found,7,seven,textual,8
implicit_small,pythia,medium,EleutherAI/pythia-1.4b-deduped,1000,42,"Question: Danny had seven oranges, then he received one oranges. How many oranges danny have now? 
Answer: I don't know. I don't know. I don't know. I don't know.",I don't know. I don't know. I don't know. I don't know.,FALSE,1,"Question: Danny had seven oranges, then he received one oranges. How many oranges danny have now? 
Answer:",+,7,1,oranges,received,8,eight,textual,9
